,0,1,2,3,4,5,6,7
0,"
ЦЕНИ НА СЕЛСКОСТОПАНСКАТА ПРОДУКЦИЯ ЗА 2025 ГОДИНА 
(евро)
",,,,,,,
1,Код,Показатели,Измерителна единица,Тримесечие,,,,2025.0
2,,,,I,II,III,IV,
3,1,Мека пшеница,т,207.14,192.02,177.31,184.24,187.31
4,2,Твърда пшеница,т,233.62,184.54,214.81,215.29,213.62
5,3,Ръж,т,184.78,182.8,177.01,179.24,179.59
6,4,Ечемик,т,192.47,172.68,168.55,186.11,173.0
7,5,Овес,т,190.82,179.15,168.51,170.56,175.21
8,6,Царевица,т,199.92,201.4,199.86,197.07,199.27
9,7,Неолющен ориз,т,494.73,580.82,-,471.67,492.79
10,8,Сорго на зърна,т,195.17,203.11,224.93,188.55,202.84
11,9,Тритикале,т,184.83,188.11,171.08,177.98,182.93
12,10,Семена от репица или рапица,т,474.93,511,436.89,445.8,444.98
13,11,Семена от слънчоглед,т,544.11,454.11,466.5,491.89,481.14
14,12,Соя,т,725.79,697.69,412.73,650.84,602.47
15,13,Грах зърно и фуражен грах,т,306.29,246.6,285.05,305.66,282.08
16,14,"Тютюн ""Ориенталски""",т,5693.57,-,-,6688.6,6307.35
17,15,"Тютюн ""Виржиния""",т,2376.13,-,5815.95,-,5094.34
18,16,"Памук, неомаганен",т,-,-,409.03,314.07,338.66
19,17,Маслодайна роза,кг,-,2.28,2.25,-,2.28
20,18,Лавандула (зелена маса),кг,-,0.57,0.34,0.2,0.34
21,19,Семена от кориандър,кг,0.56,0.49,0.42,0.5,0.49
22,20,Царевица за силаж,кг,0.07,-,0.07,0.08,0.07
23,21,Сено от естествени ливади,кг,0.1,0.11,0.11,0.1,0.11
24,22,"Люцерна, сено",кг,0.16,0.15,0.15,0.15,0.15
25,23,Домати от открити площи,т,-,399.83,407.01,-,406.26
26,24,"Домати, оранжерийни",т,856.2,1004.67,793.36,747.4,837.83
27,25,"Зеле главесто, бяло",т,493.25,455.41,319.25,259.76,275.6
28,26,Салати и марули,бр,0.41,0.42,0.5,0.48,0.45
29,27,Краставици и корнишони от открити площи,т,-,1017.2,624.59,-,648.41
30,28,"Краставици и корнишони, оранжерийни",т,1292.99,826.46,776.51,1077.39,973.23
31,29,Моркови,т,423.75,485.58,405.17,381.77,415.8
32,30,"Лук кромид, зрял",т,240.84,292.8,272.18,244.18,267.15
33,31,"Фасул градински, зелен",т,-,332.34,360.99,244.69,332.92
34,32,"Грах градински, зелен",т,-,391.78,511.29,230.08,472.79
35,33,"Пипер зелен или червен, на открито",т,-,1175.97,642.75,515,626.2
36,34,Дини,т,-,242.86,188.84,-,188.91
37,35,Патладжани,т,-,-,371.27,264.17,343.08
38,36,Вкоренени лозички,бр,1.85,1.57,1.3,1.52,1.64
39,37,Фиданки от семкови култури,бр,2.37,2.35,2.22,2.54,2.38
40,38,Фиданки от костилкови култури,бр,2.5,2.57,2.39,2.9,2.59
41,39,Картофи,т,370.77,375,332.48,338.37,340.03
42,40,Ябълки,т,398.93,416,435.61,353.51,399.54
43,41,Круши,т,-,511.29,637.95,694.86,630.26
44,42,Праскови,т,-,511.29,796.34,-,636.21
45,43,Череши,т,-,2182.82,1311.87,-,2105.1
46,44,"Сливи, сини",т,-,255.65,332.63,303.3,330.47
47,45,Обикновени орехи с черупки,т,1046.85,-,1313.7,1034.73,1176.45
48,46,Кайсии и зарзали,т,-,985.52,788.24,-,841.67
49,47,Вишни,т,-,1083.27,1113.63,-,1087.8
50,48,"Малини, култивирани",т,-,3067.75,3507.18,-,3507.03
51,49,Десертно грозде - от лозя,т,-,-,921.67,649.1,841.51
52,50,Винено грозде - от лозя,т,-,-,611.75,576.07,579.76
53,51,Семена от люцерна,кг,6.78,7.2,7.14,7.06,7.11
54,52,Говеда от 1 до 2 години,т,2453.64,2583.21,2443.14,2558.65,2512.34
55,53,Крави за угояване,т,1462.75,1504.09,1570.11,1718.83,1609.83
56,54,Телета до 1 година,т,2229.88,2289.81,2482.18,2692.69,2468.26
57,55,Свине с тегло от 80 до 110 кг (над 8 месеца),т,1374.27,1444.07,1566.76,1392.13,1445.42
58,56,Свине с тегло над 110 кг,т,1115.93,1268.44,1270.58,1176.99,1199.86
59,57,Агнета до 6 месеца за угояване,т,4465.1,4657.65,4404.99,4700.82,4627.48
60,58,Овце за угояване,т,2391.73,1912.68,2158.96,2972.05,2344.65
61,59,Ярета до 6 месеца,т,4925.44,4527.78,4527.78,3425.66,4477.39
62,60,"Пилета, бройлери до 6 месеца",т,1254.7,1256.5,1182.77,1245.5,1234.91
63,61,Кокошки-носачки на яйца за консумация,т,1414.93,1284.61,1083.25,996.72,1199.07
64,62,"Краве мляко,сурово",хил.л,510.54,506.11,506.2,519.34,510.16
65,63,"Овче мляко, сурово",хил.л,1060.11,997.95,1012.25,1131.79,1013.64
66,64,"Козе мляко, сурово",хил.л,632.16,642.94,605.87,646.69,626.62
67,65,Кокоши яйца за консумация,хил.бр,122.38,122.99,129.8,149.66,131.02
68,66,Натурален пчелен мед,т,3564.85,3540.37,3800.52,3951.21,3745.51
